/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-5 --rdrop_coef 0
eprstmt
epoch:15, dev_accuracy:43.750, total_num:32
epoch:15, test_accuracy:53.279, total_num:610
epoch:16, dev_accuracy:59.375, total_num:32
epoch:16, test_accuracy:63.770, total_num:610
epoch:17, dev_accuracy:56.250, total_num:32
epoch:17, test_accuracy:63.770, total_num:610
epoch:18, dev_accuracy:59.375, total_num:32
epoch:18, test_accuracy:63.934, total_num:610
epoch:19, dev_accuracy:59.375, total_num:32
epoch:19, test_accuracy:63.934, total_num:610
global step 20, epoch: 20, batch: 1, loss: 0.36655, speed: 0.30 step/s
epoch:20, dev_accuracy:59.375, total_num:32
epoch:20, test_accuracy:64.754, total_num:610
/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-4 --rdrop_coef 0.01
eprstmt
epoch:1, dev_accuracy:43.750, total_num:32
epoch:1, test_accuracy:60.656, total_num:610
epoch:2, dev_accuracy:59.375, total_num:32
epoch:2, test_accuracy:50.000, total_num:610
epoch:3, dev_accuracy:40.625, total_num:32
epoch:3, test_accuracy:50.000, total_num:610
epoch:4, dev_accuracy:40.625, total_num:32
epoch:4, test_accuracy:50.000, total_num:610
epoch:5, dev_accuracy:59.375, total_num:32
epoch:5, test_accuracy:50.000, total_num:610
epoch:6, dev_accuracy:65.625, total_num:32
epoch:6, test_accuracy:59.016, total_num:610
epoch:7, dev_accuracy:40.625, total_num:32
epoch:7, test_accuracy:50.000, total_num:610
epoch:8, dev_accuracy:40.625, total_num:32
epoch:8, test_accuracy:50.000, total_num:610
epoch:9, dev_accuracy:50.000, total_num:32
epoch:9, test_accuracy:56.066, total_num:610
global step 10, epoch: 10, batch: 1, loss: 0.58000, speed: 0.33 step/s
epoch:10, dev_accuracy:62.500, total_num:32
epoch:10, test_accuracy:59.836, total_num:610
epoch:11, dev_accuracy:65.625, total_num:32
epoch:11, test_accuracy:60.656, total_num:610
epoch:12, dev_accuracy:59.375, total_num:32
epoch:12, test_accuracy:63.607, total_num:610
epoch:13, dev_accuracy:56.250, total_num:32
epoch:13, test_accuracy:60.164, total_num:610
epoch:14, dev_accuracy:56.250, total_num:32
epoch:14, test_accuracy:59.836, total_num:610
epoch:15, dev_accuracy:56.250, total_num:32
epoch:15, test_accuracy:63.443, total_num:610
epoch:16, dev_accuracy:65.625, total_num:32
epoch:16, test_accuracy:67.377, total_num:610
epoch:17, dev_accuracy:68.750, total_num:32
epoch:17, test_accuracy:67.705, total_num:610
epoch:18, dev_accuracy:68.750, total_num:32
epoch:18, test_accuracy:68.689, total_num:610
epoch:19, dev_accuracy:68.750, total_num:32
epoch:19, test_accuracy:69.344, total_num:610
global step 20, epoch: 20, batch: 1, loss: 0.15795, speed: 0.30 step/s
epoch:20, dev_accuracy:68.750, total_num:32
epoch:20, test_accuracy:69.344, total_num:610
/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-4 --rdrop_coef 0.001
eprstmt
epoch:1, dev_accuracy:46.875, total_num:32
epoch:1, test_accuracy:60.984, total_num:610
epoch:2, dev_accuracy:59.375, total_num:32
epoch:2, test_accuracy:50.000, total_num:610
epoch:3, dev_accuracy:40.625, total_num:32
epoch:3, test_accuracy:50.000, total_num:610
epoch:4, dev_accuracy:71.875, total_num:32
epoch:4, test_accuracy:62.295, total_num:610
epoch:5, dev_accuracy:59.375, total_num:32
epoch:5, test_accuracy:50.164, total_num:610
epoch:6, dev_accuracy:40.625, total_num:32
epoch:6, test_accuracy:49.836, total_num:610
epoch:7, dev_accuracy:40.625, total_num:32
epoch:7, test_accuracy:50.000, total_num:610
epoch:8, dev_accuracy:43.750, total_num:32
epoch:8, test_accuracy:51.148, total_num:610
epoch:9, dev_accuracy:59.375, total_num:32
epoch:9, test_accuracy:59.180, total_num:610
global step 10, epoch: 10, batch: 1, loss: 0.57266, speed: 0.32 step/s
epoch:10, dev_accuracy:59.375, total_num:32
epoch:10, test_accuracy:62.787, total_num:610
epoch:11, dev_accuracy:56.250, total_num:32
epoch:11, test_accuracy:59.672, total_num:610
epoch:12, dev_accuracy:56.250, total_num:32
epoch:12, test_accuracy:60.000, total_num:610
epoch:13, dev_accuracy:62.500, total_num:32
epoch:13, test_accuracy:67.541, total_num:610
epoch:14, dev_accuracy:65.625, total_num:32
epoch:14, test_accuracy:66.230, total_num:610
epoch:15, dev_accuracy:68.750, total_num:32
epoch:15, test_accuracy:67.213, total_num:610
epoch:16, dev_accuracy:68.750, total_num:32
epoch:16, test_accuracy:68.689, total_num:610
epoch:17, dev_accuracy:68.750, total_num:32
epoch:17, test_accuracy:68.689, total_num:610
epoch:18, dev_accuracy:68.750, total_num:32
epoch:18, test_accuracy:70.000, total_num:610
epoch:19, dev_accuracy:65.625, total_num:32
epoch:19, test_accuracy:69.180, total_num:610
global step 20, epoch: 20, batch: 1, loss: 0.03226, speed: 0.30 step/s
epoch:20, dev_accuracy:65.625, total_num:32
epoch:20, test_accuracy:68.852, total_num:610
/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-3 --rdrop_coef 0
eprstmt
epoch:1, dev_accuracy:40.625, total_num:32
epoch:1, test_accuracy:50.000, total_num:610
epoch:2, dev_accuracy:59.375, total_num:32
epoch:2, test_accuracy:50.000, total_num:610
epoch:3, dev_accuracy:59.375, total_num:32
epoch:3, test_accuracy:50.000, total_num:610
epoch:4, dev_accuracy:40.625, total_num:32
epoch:4, test_accuracy:50.000, total_num:610
epoch:5, dev_accuracy:59.375, total_num:32
epoch:5, test_accuracy:50.000, total_num:610
epoch:6, dev_accuracy:40.625, total_num:32
epoch:6, test_accuracy:50.000, total_num:610
epoch:7, dev_accuracy:40.625, total_num:32
epoch:7, test_accuracy:50.000, total_num:610
epoch:8, dev_accuracy:40.625, total_num:32
epoch:8, test_accuracy:50.000, total_num:610
epoch:9, dev_accuracy:59.375, total_num:32
